"","Group.1","x","SH_max.x","SH_min.x","SH_sd.x","T_mean.x","T_max.x","T_min.x","T_sd.x","Rad_mean.x","Rad_max.x","Rad_min.x","Rad_sd.x","Per_mean.x","Per_max.x","Per_min.x","Per_sd.x","Per_sum.x"
"1189",2017-04-03,113.375694444444,115.5,111.1,1.08982878797625,2.07361111111111,4.4,-0.7,0.914910375152121,76.3611111111111,535,-1,103.026821893748,0.1875,2,0,0.425888622624647,27
"1190",2017-04-04,117.784722222222,121.3,112.1,2.35548220663974,-1.63402777777778,1.1,-3.5,1.22338308842373,97.7569444444444,490,-1,146.313402802168,0.166666666666667,1,0,0.373978796003383,24
"1191",2017-04-05,120.768531468531,123.6,117.2,1.49776451168181,-2.02097902097902,0.3,-3.6,1.06875293570823,123.06993006993,456,-167,157.603650237883,0.13986013986014,1,0,0.348060999215121,20
"1192",2017-04-06,126.442361111111,130,119.7,3.30290357239611,-3.975,-1.9,-6.1,1.13836467174369,96.8333333333333,443,-1,124.412577782512,0.333333333333333,3,0,0.567166925762003,48
"1193",2017-04-07,128.227777777778,131,126.4,1.10980653794729,-2.47361111111111,0,-6,2.27159369554459,118.090277777778,435,-1,146.284181383358,0.194444444444444,1,0,0.39715382124708,28
"1194",2017-04-08,124.186805555556,127,120.5,1.85996640798968,3.43472222222222,10.2,-0.5,2.77166783356927,132.201388888889,574,-1,159.616961954274,0.138888888888889,1,0,0.347037635473619,20
"1195",2017-04-09,121.776388888889,124.5,118.6,1.30249819731221,5.82083333333333,7.8,3.4,1.358159748372,187.513888888889,558,-1,219.949866700787,0.0972222222222222,1,0,0.297294195005282,14
"1196",2017-04-10,119.065277777778,121.4,115,1.66453418354026,5.76388888888889,9.9,3.6,1.2149771134344,125.576388888889,557,0,164.010471261356,0.166666666666667,4,0,0.501745206004255,24
"1197",2017-04-11,116.409722222222,118.6,112.6,1.39109653606411,-0.232638888888889,4.6,-2.4,1.44400520412013,109.076388888889,442,-1,133.420785532253,0.1875,2,0,0.409139468757421,27
"1198",2017-04-12,115.148951048951,117.3,112,1.27505134571383,2.54195804195804,6.7,-2.9,2.99069949393379,159.916083916084,531,-1,187.490600572045,0.13986013986014,1,0,0.348060999215121,20
"1199",2017-04-13,115.251388888889,116.3,113.8,0.444859703052721,0.940972222222222,4.4,-0.3,1.04046877509624,78.5277777777778,372,-1,95.8018748407317,0.125,1,0,0.331873259151532,18
"1200",2017-04-14,114.251388888889,115.7,112.4,0.629461542686949,0.836805555555556,1.9,-0.3,0.603572873541558,109.701388888889,482,-1,131.398932410492,0.145833333333333,1,0,0.354170951571502,21
"1201",2017-04-15,116.988194444444,121.6,114.2,1.99188902602451,-0.1,1.7,-1.3,0.815496759671653,84.5069444444444,456,-1,108.203899502381,0.111111111111111,1,0,0.315366611194177,16
"1202",2017-04-16,121.575,129.5,113.6,4.18880459273095,-3.66111111111111,-1.4,-5.9,1.13717298295483,134.138888888889,493,-1,164.212067012759,0.395833333333333,3,0,0.671276312789218,57
