DateTime,Time,Time,corImpulses,Distance,AccuDist
17.05.2017,0.001678,00:02:25,0,0.785,352.465
17.05.2017,0.747176,17:55:56,1,0.785,353.25
18.05.2017,0.152743,03:39:57,0,0.785,354.035
18.05.2017,0.166921,04:00:22,1,0.785,354.82
18.05.2017,0.19728,04:44:05,1,0.785,355.605
19.05.2017,0.093646,02:14:51,1,0.785,356.39
19.05.2017,0.582593,13:58:56,0,0.785,357.175
20.05.2017,0.29015,06:57:49,1,0.785,357.96
20.05.2017,0.953403,22:52:54,0,0.785,358.745
22.05.2017,0.070231,01:41:08,1,0.785,359.53
22.05.2017,0.563912,13:32:02,0,0.785,360.315
22.05.2017,0.570938,13:42:09,0,0.785,361.1
22.05.2017,0.62287,14:56:56,1,0.785,361.885
22.05.2017,0.667361,16:01:00,1,0.785,362.67
23.05.2017,0.188241,04:31:04,1,0.785,363.455
23.05.2017,0.743993,17:51:21,0,0.785,364.24
24.05.2017,0.527188,12:39:09,1,0.785,365.025
24.05.2017,0.999028,23:58:36,0,0.785,365.81
25.05.2017,0.020845,00:30:01,0,0.785,366.595
26.05.2017,0.009317,00:13:25,1,0.785,367.38
26.05.2017,0.640532,15:22:22,0,0.785,368.165
27.05.2017,0.830984,19:56:37,1,0.785,368.95
28.05.2017,0.463102,11:06:52,0,0.785,369.735
29.05.2017,0.643808,15:27:05,1,0.785,370.52
30.05.2017,0.444329,10:39:50,0,0.785,371.305
30.05.2017,0.451678,10:50:25,0,0.785,372.09
30.05.2017,0.471296,11:18:40,1,0.785,372.875
