statnr,datum,RSX
12311,2015020220,1.1
12311,2015020221,0.4
12311,2015020222,0.3
12311,2015020223,0
12311,2015020224,0
12311,2015020301,0.4
12311,2015020302,0
12311,2015020303,0
12311,2015020304,0
12311,2015020305,0
12311,2015020306,0
12311,2015020307,0
12311,2015020308,0
12311,2015020309,0
12311,2015020310,0
12311,2015020311,0
12311,2015020312,0
12311,2015020313,0
12311,2015020314,0
12311,2015020315,0
12311,2015020316,0
12311,2015020317,0
12311,2015020318,0
12311,2015020319,0
12311,2015020320,0
12311,2015020321,0
12311,2015020322,0
12311,2015020323,0
12311,2015020324,0
12311,2015020401,0
12311,2015020402,0
12311,2015020403,0
12311,2015020404,0
12311,2015020405,0
12311,2015020406,0
12311,2015020407,0
12311,2015020408,0
12311,2015020409,0
12311,2015020410,0
12311,2015020411,0
12311,2015020412,0
12311,2015020413,0
12311,2015020414,0
12311,2015020415,0
12311,2015020416,0
12311,2015020417,0
12311,2015020418,0
12311,2015020419,0
12311,2015020420,0
12311,2015020421,0
12311,2015020422,0
12311,2015020423,0
12311,2015020424,0
12311,2015020501,0
12311,2015020502,0
12311,2015020503,0
12311,2015020504,0
12311,2015020505,0
12311,2015020506,0
12311,2015020507,0
12311,2015020508,0
12311,2015020509,0
12311,2015020510,0
12311,2015020511,0
12311,2015020512,0
12311,2015020513,0
12311,2015020514,0
12311,2015020515,0
12311,2015020516,0
12311,2015020517,0
12311,2015020518,0
12311,2015020519,0
12311,2015020520,0
12311,2015020521,0
12311,2015020522,0
12311,2015020523,0
12311,2015020524,0
12311,2015020601,0
12311,2015020602,0
12311,2015020603,0
12311,2015020604,0
12311,2015020605,0
12311,2015020606,0
12311,2015020607,0
12311,2015020608,0
12311,2015020609,0
12311,2015020610,0
12311,2015020611,0
12311,2015020612,0
12311,2015020613,0
12311,2015020614,0
12311,2015020615,0.3
12311,2015020616,0.5
12311,2015020617,0.3
12311,2015020618,0
12311,2015020619,0
12311,2015020620,0
12311,2015020621,0.1
12311,2015020622,0
12311,2015020623,0
12311,2015020624,0
12311,2015020701,0
12311,2015020702,0
12311,2015020703,0
12311,2015020704,0
12311,2015020705,0
12311,2015020706,0
12311,2015020707,0
12311,2015020708,0
12311,2015020709,0
12311,2015020710,0
